# Definitions for attributes:
# - internal name: used as
#   a) for GC caches this is the ID with which it is found in c:geo
#   b) name of string, prefixed with "attribute_"
#   c) name of icon, prefixed with "attribute_"
# - gcid: id used in groundspeak GPX files
# - ocid: opencaching.de id
# - acode: opencaching okapi a-code
# - man: graphic is selfmade or overhauled
# - license: type of license
# - copyright holder: Name of person
# - URL: icon is based on graphic downloadable here
#
# No blank lines! Use # for comments
# No reordering! This will mess up the scripts checking for missing localized strings
#
# internal name   | gcid | ocid | acode | man | license  | copyright holder                      | URL
puzzle            |      |  55  |    15 |  x  | PD       | nicubunu                              | http://www.openclipart.org/detail/15169/red-jigsaw-piece-13-by-nicubunu
arithmetic        |      |  56  |    16 |  x  | PD       | koem                                  | selfmade
other_cache       |      |  57  |    13 |  x  | PD       | koem                                  | selfmade
ask_owner         |      |  58  |    17 |  x  | PD       | koem                                  | selfmade
#
unknown           |  -1  |  -1  |    -1 |  x  | PD       | koem                                  | selfmade
geotour           |  67  |      |       |     | CC0      | James Keuning                         | http://thenounproject.com/noun/suitcase/#icon-No9097
kids_2            |      |      |    70 |  x  | PD       |                                       | http://thenounproject.com/noun/teddy-bear/#icon-No6843
historic_site     |      |      |    29 |     | PD       | Reuben                                | http://thenounproject.com/term/castle/12390/
magnetic          |      |      |     6 |     | PD       |                                       | http://thenounproject.com/term/magnet/698/
usb_cache         |      |      |    10 |     | CCBY     | Kenneth van Alt                       | http://thenounproject.com/term/usb/1824/
shovel            |      |      |    51 |     | PD       | Luis Prado                            | http://thenounproject.com/term/shovel/369/
specific_access   |      |      |    73 |     | PD       | Desbenoit                             | http://thenounproject.com/term/clock/1164/
pedestrian_only   |      |      |    20 |     | PD       | Reuben                                | http://thenounproject.com/term/walking/24068/
nature_cache      |      |      |    28 |     | PD       | Shane Herzog                          | http://thenounproject.com/term/tree/17078/
byop              |      |      |    50 |     | PD       | JM Waideaswaran                       | http://thenounproject.com/term/pencil/14435/
safari_cache      |      |      |    72 |     | PD       | rsudev, John Hoogstrate               | http://thenounproject.com/term/camera/1513/, http://thenounproject.com/term/flag/1666/
quick_cache       |      |      |    68 |     | PD       | Mike Wirth                            | http://thenounproject.com/term/hour-glass/2486/
wherigo           |      |      |     3 |     | PD       | Larissa Mancia                        | http://thenounproject.com/term/clapperboard/1650/
audio_cache       |      |      |     7 |     | PD       | Michael Martin-Smucker                | http://thenounproject.com/term/headphones/7213/
geohotel          |      |      |     5 |     | CCBYNCSA | rsudev, Marcela Machuca, geokrety.org | http://thenounproject.com/term/hotel/12799/, geokrety.org
survey_marker     |      |      |     2 |     | PD       | rsudev                                | selfmade
offset_cache      |      |      |     8 |     | PD       | rsudev, S.Shohei                      | selfmade, http://thenounproject.com/term/arrow/5582/
bonuscache        |  69  |      |       |     | CCBY     | Susannanova                           | https://thenounproject.com/term/add/2640238/
powertrail        |  70  |      |       |     | CCBY     | Martina Krasnayová                    | https://thenounproject.com/term/trail/689645/
challengecache    |  71  |      |       |     | CCBY     | Adrien Coquet                         | https://thenounproject.com/term/challenge/3203889/
hqsolutionchecker |  72  |      |       |     | CCBY     | Adrien Coquet                         | https://thenounproject.com/term/solution/2998552/
handicaching      |      |      |    76 |     | PD       | accessibleicon.org                    | http://accessibleicon.org/img/Accessibility%20Icon_final.svg
munzee            |      |      |    77 |     | PD       | bekuno                                | selfmade
ads               |      |      |    78 |     | CC0      | SVG Repo                              | https://www.svgrepo.com/svg/129590/megaphone
military_area     |      |      |    79 |     | PD       | Firkin, Designer.io                   | https://openclipart.org/detail/292752/barbed-wire-frame,  https://openclipart.org/detail/289625/tank-5
video_surveil     |      |      |    80 |     | PD       | VoPo                                  | https://openclipart.org/detail/323509/security-camera
trackables        |      |      |    81 |     | PD       | J32, bekuno                           | https://openclipart.org/detail/159937/clothing-label-with-rope
historic          |      |      |    87 |     | PD       | monsterbraingames                     | https://openclipart.org/detail/303858/eiffel-tower-outline-icon-monument
blind_people      |      |  62  |    89 |     | PD       | W!B:                                  | https://commons.wikimedia.org/wiki/File:Blindheit-Sehbehinderung.svg
